sentence,target,polarity
"The group’s leader, James Goddard – whose use of the word “traitor” is the same term used by members of the far right to describe the murdered Labour MP Jo Cox – filmed himself calling Soubry a “disgrace to the country” because of her tenacious campaigning for a people’s vote.",himself,2.0
"Jeremy Corbyn and several other Westminster party leaders met the Swedish environmental protester Greta Thunberg at parliament, with a symbolic place left at the table for the absent Theresa May.
Thunberg, who came to London to speak at the Extinction Rebellion environmental protests, and was due to address activists at Parliament Square later on Tuesday, met Corbyn, the Liberal Democrat leader, Vince Cable, Green MP Caroline Lucas and the Westminster leaders of the SNP and Plaid Cymru, Ian Blackford and Liz Saville Roberts.",Corbyn,4.0
"Dr Sarah Wollaston said she agreed with Stevens’ contradiction of May’s claim last Sunday that the NHS had been given “more funding” than it required up to 2020.
May’s comments to Sky News were repeatedly dismissed by Stevens when he appeared before the public accounts committee on Wednesday, showing the extent of divisions between himself and the prime minister.",Dr Sarah Wollaston,4.0
Harris is one of several prominent Democrats who have already announced their candidacy for the White House.,Harris,6.0
"Sarah Gill, Suman Ali – aka Acid Survivor – and Khadija Siddiqi represent a growing movement using the internet to demand justice for the shocking crimes they have suffered.",Siddiqi,6.0
"‘I didn’t want to be a victim’
Like Gill, 20-year-old undergraduate Suman Ali has used social media to take control of her selfhood.",Gill,6.0
"Pyongyang official news agency says leaders ‘agreed to keep in close touch in future’
North Korea has described the weekend meeting between its leader Kim Jong-un and Donald Trump as “historic” and “amazing”.",Trump,6.0
"He aims to force these soldiers’ hand by offering them a hard choice: follow their orders and deny fellow Venezuelans much-needed food and medicines, or disobey Maduro publicly.",Maduro,2.0
"He aims to force these soldiers’ hand by offering them a hard choice: follow their orders and deny fellow Venezuelans much-needed food and medicines, or disobey Maduro publicly.",He,2.0
"John McDonnell, the Labour shadow chancellor, is in discussions with the distinguished economist Lord Skidelsky about an independent inquiry into cutting the working week, possibly from the traditional five days to four.",Skidelsky,6.0
"Thursday
“I’m not an Albany insider like Governor Cuomo,” said Cynthia Nixon on Wednesday night, “but experience doesn’t mean that much if you’re not actually good at governing.”",Cuomo,2.0
I imagine Vladimir Putin and his henchmen view turncoat spies such as Skripal as “enemies of the state” wherever they live.,Skripal,2.0
"Lanier still hated school, but developed a passion for music, and for technology.",Lanier,6.0
"Now, in a new memoir-cum-manifesto, Jaron Lanier recounts his sad, unusual childhood and calls for a re-evaluation of our ties with the digital environment
Jaron Lanier has written a book about virtual reality, a phrase he coined and a concept he did much to invent.",he,6.0
"Largely driving that growth is an influx of educated, professional black Americans like Williams for whom Atlanta has become something of a mecca.",Williams,6.0
"He pointed to a “unique set of anomalies”, including the claims that Ayling went shoe shopping with Herba’s brother and had breakfast with him before her release.",He,4.0
She also targeted activists who used social media to get their message across.,She,2.0
"In his rooftop office at Leigh Day, Day radiates an aura of uncoiled relief.",his,4.0
"“A lot of well-informed people I know hate Julian Assange for reasons of character, and what I think is that I have no idea about his character and nor do I think it is important,” he said.",Julian Assange,2.0
"“A lot of well-informed people I know hate Julian Assange for reasons of character, and what I think is that I have no idea about his character and nor do I think it is important,” he said.",character,4.0
"We consider other furry – or shelled – veterans of British living rooms
A minute’s silence, please, to mark the passing of George, 44, thought to have been Britain’s oldest goldfish.",George,6.0
Hats off to Paul Ehrlich but shame on the human race.,Paul Ehrlich,6.0
"Alan Mitcham
Cologne, Germany
• It is depressing to see the Guardian recycling Paul Ehrlich’s discredited views.",Paul Ehrlich,2.0
He continues to enjoy the significant long-term cardiac and overall health benefits that come from a lifetime of abstinence from tobacco and alcohol.,He,6.0
"Lara Trump responded to claims the Trumps were trying to buy Manigault Newman’s silence with a sad statement about how “[w]oman to woman, I shared a connection with Omarosa”.",Manigault Newman,2.0
The mounting evidence places him increasingly at the center of campaign finance violations that have already led to prison time for Cohen.,Cohen,2.0
The mounting evidence places him increasingly at the center of campaign finance violations that have already led to prison time for Cohen.,him,2.0
"But after a career littered with lies, casual racism, affairs and fantasy bridges, is Johnson really cut out to be PM?",Johnson,2.0
"She later emigrated with a nurse friend to Canada, where she met and married Al Hipperson, and raised their family of four sons and a daughter.",She,4.0
The Brexiter right see Hammond as faithless to the cause.,Hammond,2.0
The Brexiter right see Hammond as faithless to the cause.,Hammond as faithless to the cause,2.0
"Hogan also told the paper he wanted to focus on his role with the National Governors Association, a bipartisan group which he will chair beginning in July.",Hogan,6.0
"Facebook Twitter Pinterest Derek Hatton, right, at the 1985 Labour party conference with Peter Taaffe, editor of the newspaper Militant.",Derek Hatton,4.0
"A corrupt dictator to some and a misunderstood hero to others, Fujimori had been serving a 25-year sentence for graft and human rights crimes during his 1990-2000 rightwing populist government.",Fujimori,2.0
"You could disagree with her, politically, but to this day I have never met anyone who didn’t like her.",her,6.0
"On Friday, Sams followed his response to Stewart’s Stalin tweet with a mocked-up picture in which Kaine, as Union general Ulysses S Grant, shook hands with Stewart as the defeated Confederate, Robert E Lee.",Stewart,2.0
"President’s son or not, as the former first daughter said in her tweet, he deserves to be a child.",he,6.0
"Torres isn’t sure why, but her ballot never made it to election officials.",Torres,4.0
"The indictment alleges Stone spoke “to senior Trump Campaign officials” about WikiLeaks and “information it might have had that would be damaging” to the campaign of Trump’s Democratic rival, Hillary Clinton, in the summer before the election.",Stone,2.0
Courtesy of John Aravosis The email that went viral and helped take down conservative talk-show host Dr. Laura in 2000.,conservative talk-show host Dr. Laura,2.0
While Trump may enjoy that it makes him look like a fool in the eyes of any intelligent person.,him,2.0
"Trump himself, comes from an immigrant family.",Trump himself,4.0
"Though I am vehemently for abortion rights myself, it haunts me to know we may soon have a Supreme Court justice who believes Claire and others with intellectual disabilities don’t deserve to be asked whether or not they want to have an abortion.",Claire,6.0
The Bidens had already been fostering Major for the shelter and decided to adopt him permanently.,The Bidens,6.0
"Mueller doesn’t care what Trump thinks, he cares about what Trump did.",Mueller,6.0
"Mueller doesn’t care what Trump thinks, he cares about what Trump did.",Trump,2.0
Making America great again wasn’t good enough for Donald Trump.,Donald Trump,2.0
"In 2005, state air pollution regulators accused Wheeler of abusing his power to bully and intimidate them after their nonpartisan association came out against an anti-climate bill that his then-boss, Inhofe, had sponsored.",Wheeler,2.0
"Nearly a half-century later, as a place to begin, his prescription remains apt.",his,6.0
"In his 1968 sermon “The Drum Major Instinct,” Dr. King talked about his interaction with white prison guards during a night in jail.",Dr. King,4.0
But one thing to know about Dr. King is that he didn’t shame or dismiss the frustrations of black people that erupted in unrest.,King,6.0
"President Donald Trump also weighed in with a tweet backing Scott on Thursday night, saying there was “another big corruption scandal” in Broward County.",Thursday,4.0
"He has been recipient of several fellowships and scholarships including from Oxford University, Annenberg, University of California Santa Barbara, Fulbright program, to name few He is regularly quoted and invited to speak on national and international outlets including CNN, BBC World TV and Radio, ABC, Aljazeera English, Fox News, CTV, RT, CCTV America, Skynews, CTV, and France 24 International, to name a few. .",CNN,4.0
"He has been recipient of several fellowships and scholarships including from Oxford University, Annenberg, University of California Santa Barbara, Fulbright program, to name few He is regularly quoted and invited to speak on national and international outlets including CNN, BBC World TV and Radio, ABC, Aljazeera English, Fox News, CTV, RT, CCTV America, Skynews, CTV, and France 24 International, to name a few. .",He,6.0
"On Fox News on Thursday, Hunter denied that he personally committed any wrongdoing and said his wife handled his family’s finances and campaign.",Fox News,4.0
Ms. Hadley is an innocent victim of a diabolical scheme.”,Hadley,6.0
"Diaz was arrested Jan. 6 in Phoenix and was charged with two felony counts each of kidnapping (linked to false reports that landed Hadley in jail) and false imprisonment by menace, fraud or deceit, one felony count of perjury, one felony count of grand theft and two felony counts of forgery, among a number of other charges, according to the Orange County district attorney’s office.",Diaz,2.0
“Senator Heller does as many telephone town halls as possible because it provides him with the opportunity to gather feedback from all Nevadans ― we do not screen callers or questions.”,Senator Heller,6.0
"As the night wore on, Harvey and Kandice Child, one of the Church of Safe Injection’s founding members, tag-teamed the slow stream of people picking up supplies, asking them to like the church on Facebook and offering up their services for helping return used needles for disposal.",Harvey,6.0
"Following the firing of McCabe, former CIA chief John Brennan said Trump would be remembered in history as a “disgraced demagogue.”",Trump,2.0
"Andrew McCabe FIRED, a great day for the hard working men and women of the FBI - A great day for Democracy.",McCabe,2.0
"In his interview with Starnes, Gohmert characterized the migrant group as full of violent “gangbangers” and said he had faith that Trump would prevent the group from entering the U.S.",Trump,6.0
"He adds, ""We’re hoping that in a decade or so, this will become mainstream.”",He,4.0
Pope Francis Offers Partial Apology To Clergy Sex Abuse Victims After Demand For 'Proof',Francis,2.0
They are Senators Jeff Flake of Arizona and Bob Corker of Tennessee.,Flake,4.0
Trump Made Kim Jong Un A Fake Movie Trailer,Kim Jong Un,4.0
Andrew Anglin Andrew Anglin displays an Ohio state identification card from 2013.,Andrew Anglin,4.0
"The king of the Nazi trolls was in the supermarket, and he seemed nervous.",he,2.0
"But disabled people are both frequently left out developing emergency preparation plans and not made aware of the ones that are put in place, Ramirez said.",Ramirez,6.0
"“We need another senator we can be proud of, who will vote the issues, who will vote his mind … and that’s Phil Bredesen,” he said.",Phil Bredesen,6.0
"Nonetheless, Jackson consolidated enough heft among Southern blacks and disillusioned whites to win contests in Louisiana, Mississippi and South Carolina during his 1984 bid.",Jackson,6.0
"McCrae Dowless, an operative working on Harris’ behalf, is accused of paying people to collect completed absentee ballots from voters ― something that violates North Carolina law.",North Carolina,4.0
"McCrae Dowless, an operative working on Harris’ behalf, is accused of paying people to collect completed absentee ballots from voters ― something that violates North Carolina law.",Harris,2.0
DeVos first told Murphy that the 1982 Supreme Court decision in Plyler v.,Murphy,4.0
"Trump has been assailed by Democratic and GOP lawmakers for a disastrous press conference with Russian President Vladimir Putin in Helsinki, in which he gave credence to Putin’s denials that Russia intervened in the 2016 election.",Russian President Vladimir Putin,2.0
"Trump has been assailed by Democratic and GOP lawmakers for a disastrous press conference with Russian President Vladimir Putin in Helsinki, in which he gave credence to Putin’s denials that Russia intervened in the 2016 election.",Trump,2.0
"Wow, Lyin' Ted Cruz really went wacko today.",Lyin' Ted Cruz,2.0
"Aparicio is only the second Mexican woman to be nominated for an Oscar for Best Actress, per the Times ― following Salma Hayek in the 2002 film “Frida,” about Mexican painter Frida Kahlo.",Aparicio,6.0
"NurPhoto via Getty Images
Jacobs terms Trump an “enabler’ of far-right rhetoric,” citing his first-hand knowledge of the president.",Trump,2.0
Claire McCaskill (D-Mo.) and Joe Donnelly (D-Ind.) played into Trump’s anti-immigrant rhetoric: Both said they were concerned about the caravan of migrants and supported Trump’s wall on the border.,Trump,2.0
"In a resignation letter Wednesday, which Clement shared with HuffPost, he blasts Interior Secretary Ryan Zinke and President Donald Trump for their “poor leadership.”",Zinke,2.0
"In a resignation letter Wednesday, which Clement shared with HuffPost, he blasts Interior Secretary Ryan Zinke and President Donald Trump for their “poor leadership.”",Interior Secretary Ryan Zinke and President Donald Trump,2.0
Maxine Waters Swipes At Donald Trump During Women’s Convention,Waters,2.0
"“As I told Jared days ago, I have full confidence in his ability to continue performing his duties in his foreign policy portfolio including overseeing our Israeli-Palestinian peace effort and serving as an integral part of our relationship with Mexico,” Kelly said in a statement.",Kelly,4.0
"Elijah Cummings (D-Md.) said he will probe senior Trump officials for ""abuse of power"" in his new role as chairman of the House Oversight Committee.",Elijah Cummings (D-Md.),4.0
"North Korean officials gave CIA Director Mike Pompeo assurances that the summit between Trump and Kim could be linked to the release of the U.S. citizens, the Journal reported, citing “people briefed on the meeting.”",CIA Director Mike Pompeo,4.0
"Last year, he teamed up with the global advocacy group Shape History for “Trans Youth,” featuring 10 British activists reflecting on the stigma they regularly experience because of their gender identity.",he,6.0
Kahlil began to learn English and a whole new world of artistic influences began to inspire him.,Kahlil,6.0
"In Jesus, Kahlil saw an all-embracing figure, and he was enraptured by his character.",Kahlil,6.0
"If he fails that test, he’s failing the presidency, he’s failing the American people, he’s failing the Constitution and failing all of us.”",he,2.0
"“[The commission] will not be a cure for the problem, but it will go a long way towards holding those who abuse their powers accountable, and towards deterring those who may be tempted to break the rules,” wrote John Raphling, a senior researcher at Human Rights Watch, in a letter to Cuomo in support of the commission.",it,6.0
"Our selected president Donald Trump isn't only delusional, but his behavior also demonstrates the man chosen, not by Americans but by the outmoded Electoral College, has no inhibitions about shameful conduct.",Donald Trump,2.0
"Our selected president Donald Trump isn't only delusional, but his behavior also demonstrates the man chosen, not by Americans but by the outmoded Electoral College, has no inhibitions about shameful conduct.",Our,2.0
"As Pride 2016 rolled around, I was still in my own bubble of idealism thanks to the idealism of Obama and my support for Hillary Clinton.",Obama,6.0
An embarrassing tweet from Sarah Huckabee Sanders has reemerged just in time for the bombshell revelation that President Donald Trump was the target of an FBI probe.,Sarah Huckabee Sanders,2.0
An embarrassing tweet from Sarah Huckabee Sanders has reemerged just in time for the bombshell revelation that President Donald Trump was the target of an FBI probe.,President Donald Trump,2.0
"Shafer has been helping at a shelter for those who have been displaced as he works to track down his students, who are spread out between shelters, tents, trailers and houses of family members and friends in other communities.",Shafer,6.0
"Earlier this year, Trump initially denied knowledge of the payment to Daniels, but later admitted Cohen “represented him in this crazy Stormy Daniels deal,” making it more difficult for him to distance himself from Cohen.",Trump,2.0
She was responding to conservative commentator Charlie Sykes’ belief that Trump really doesn’t want a “deal ... or the wall.,She,4.0
Why Kris Kobach Was Found In Contempt For Not Clarifying To People That They Could Vote,Kris Kobach,2.0
Why Kris Kobach Was Found In Contempt For Not Clarifying To People That They Could Vote,Kobach,2.0
"A number of them communicate with each other via online support groups for survivors of fundamentalist schools, including Bishop.",Bishop,6.0
"“What we know is that Stephen Paddock is a man who spent decades acquiring weapons and ammo and living a secret life, much of which will never be fully understood,” Clark County Sheriff Joseph Lombardo told reporters during an evening news conference.",Stephen Paddock,2.0
"Of course, we might also add, in addition to Steele’s decades-long history of trustworthiness and professionalism, that no one in the U.S. media has supplied for its American audience previous examples of meticulously detailed, 35-page intelligence memos written by an intelligence agent with a strong reputation and excellent sources that turned out to be—as Mitchell was suggesting of Steele’s work—entirely false and malevolently salacious.",U.S.,4.0
"Of course, we might also add, in addition to Steele’s decades-long history of trustworthiness and professionalism, that no one in the U.S. media has supplied for its American audience previous examples of meticulously detailed, 35-page intelligence memos written by an intelligence agent with a strong reputation and excellent sources that turned out to be—as Mitchell was suggesting of Steele’s work—entirely false and malevolently salacious.",Steele,6.0
"But his own words of years past lingered in the air, as acrid as smoke.",his,2.0
"“Freshwater is going to become, and it’s quickly becoming, the most important resource in the world,” El-Sayed told HuffPost.",” El-Sayed,4.0
"#justthebegininng — Bill Pruitt (@billpruitt) October 8, 2016
In Monday’s interview, Manigault Newman also introduced new audio that she’d recorded while sitting in on meetings with the president and other White House staff last year.",Manigault Newman,4.0
"Further calling into question Mr. Hariri’s independence, were reports that Khalid al-Tuwaijri, the head of late King Abdullah’s court, who was among scores of princes, officials and businessmen arrested earlier this month on corruption charges in a sweeping purge, had illicitly paid the Hariri family company $9 billion.",Mr. Hariri,2.0
"But instead of the promised Trump pivot away from his bullying, bombastic nature toward a more presidential demeanor, it is the Republican Party en masse that has pivoted.",the Republican Party,2.0
"But instead of the promised Trump pivot away from his bullying, bombastic nature toward a more presidential demeanor, it is the Republican Party en masse that has pivoted.",Trump,2.0
"Robert Mercer Sells Stake In Breitbart News, Recants Support For Milo Yiannopoulos",Milo Yiannopoulos,6.0
"That night, in the back row of a theater a few blocks from the state capitol, I watched the first U.S. screening of Moore’s latest movie, SiCKO.",Moore,4.0
"McCarthy continued to question Mueller’s investigation until Bash confronted him for parroting “talking points,” asking him again whether he’s concerned that the White House “lied.”",Bash,6.0
“He is outspoken and passionate and that’s what makes him one of the greatest teachers that Riverdale has.”,He,6.0
“He is outspoken and passionate and that’s what makes him one of the greatest teachers that Riverdale has.”,Riverdale,6.0
"The National Review published an editorial entitled ""Roy Moore Should Drop Out,"" a position supported by a spate of articles by its writers.",Roy Moore,2.0
Collins was arrested and later convicted of possessing stolen property.,Collins,2.0
"In 2014, he falsely accused a New York Times reporter of posing for Playgirl.",he,2.0
"He maintains that former President Barack Obama is “clearly gay,” and described Eric Garner, the unarmed black man who died in a New York police chokehold, as a “street thug.”",He,2.0
Susan Bro Wants To Shift The Focus From Heather Heyer’s Death To Racial Injustice,Heather,4.0
"“Alaskans have Lisa Murkowski to thank:” Anchorage rally praises senator for votes against repealing Obamacare https://t.co/keRg53Osqr pic.twitter.com/wf0KZzYcKI — KTVA 11 News (@ktva) July 29, 2017
Among the attendees were some Democrats who had not typically supported Murkowski but said they wanted to show her their gratitude for her role in the health care debate.",her,6.0
"The proposed town halls sounded doubly ironic because they implied Cosby to be a truth teller who has been wronged and should be believed, instead of the many women who made allegations against him and whom such sanctimonious forums threatened to further discredit.",him,2.0
"The proposed town halls sounded doubly ironic because they implied Cosby to be a truth teller who has been wronged and should be believed, instead of the many women who made allegations against him and whom such sanctimonious forums threatened to further discredit.",Cosby,2.0
"Others ― like Lucy Hicks Anderson, Marsha P. Johnson and Miss Major Garcy-Griffin ― put their lives on the line by advocating for the freedoms we have today and serve as examples of strength in spite of oppressive climates.",Anderson,6.0
"Everybody, that is, except for Brassner.",Brassner,4.0
A command staff whose images present decent human beings that Sheriff Richard Jones has placed in extreme peril with his bravado unquenchable addiction for media attention.,Richard Jones,2.0
"Dr. Douglas Steinbrech, dubbed the “go-to surgeon for men” by Forbes magazine, said he now sees more than 10 times as many male patients as he did just four years ago, and men now outnumber female patients 4 to 1.","Dr. Douglas Steinbrech, dubbed the “go-to surgeon for men” by Forbes magazine",6.0
"Sorry, I’m not a sucker.”",’m,4.0
"Stefan Ritter, who served as executive secretary of the Georgia State Ethics Commission since 2015, was placed on paid leave in January after several staffers filed complaints against him.",Ritter,2.0
"“As you may have heard, last night, the president of the United States went after me on Twitter,” Fallon began.",Fallon,4.0
"Sessions has not demonstrated a commitment to a central requirement of the job ― to aggressively pursue the congressional mandate of civil rights, equal rights, and justice for all,” Booker said.",Sessions,2.0
"I don’t care if he’ll admit it or not, he knows that Donald J. Trump is a really bad character, an awful role model for his kids, the worst example of how America creates and protects this class of robber barons.",Donald J. Trump,2.0
"I don’t care if he’ll admit it or not, he knows that Donald J. Trump is a really bad character, an awful role model for his kids, the worst example of how America creates and protects this class of robber barons.",he,2.0
"Photo
Mr. Trump has barely paid lip service to the promotion of universal human rights, and experts say his warm embrace of hard-line leaders like President Rodrigo Duterte of the Philippines, whose antidrug drive has killed thousands of his own citizens without due process, has only encouraged their worst excesses.",Mr. Trump,2.0
Mr. Netanyahu is almost certain to try to persuade his coalition partners to pass a law granting him immunity from prosecution.,Mr. Netanyahu,2.0
"But while Mr. Kim might be eccentric, he has repeatedly proven himself to be rational.",Mr. Kim,6.0
"PARIS — When Carlos Ghosn was arrested on his private jet in Japan last month on charges of violating the nation’s financial reporting laws, Nissan promptly removed him as its chairman.",Carlos Ghosn,2.0
"Truth, fantasy and deceit slosh together with Mr. Trump.",Mr. Trump,2.0
Maria Butina surrounded herself with prominent American conservatives and dubious characters bent on making a fast buck.,Maria Butina,2.0
"The New York Times will stream Mr. Mueller’s testimony, and our reporters will provide live context and analysis.",Mr. Mueller,4.0
"Ms. Cramer’s 2016 book “The Politics of Resentment” addresses how powerful rural identity was to voters in Wisconsin, who believed their communities were disrespected, ignored and seldom given their fair share of resources — and that city dwellers were to blame.",Ms. Cramer,4.0
"“I think it takes both,” said Ms. Feinstein, who has been a staunch moderate since her days as mayor of San Francisco.",her,4.0
"Last Friday, three days after being elected to the House of Representatives, Alexandria Ocasio-Cortez invited over 600,000 people to chat as she made loaded macaroni and cheese in an Instant Pot.",Alexandria Ocasio-Cortez,6.0
"Representatives from America First Policies, the super PAC that is acting as the main vehicle for Mr. Trump’s 2020 effort, recently visited Mr. Adelson in Las Vegas to make a pitch for financial support, according to several people who had been briefed on the meeting.",Mr. Adelson,4.0
"Neither the White House press secretary, Stephanie Grisham, nor one of Mr. Trump’s most visible television defenders, Kellyanne Conway, weighed in on Monday.",Trump,4.0
"Mr. Wynn had faced growing calls to step aside in the wake of a detailed investigative report in The Wall Street Journal on Friday that said Mr. Wynn had frequently demanded naked massages from female employees, and had sometimes pressured them to engage in sexual intercourse or to perform sex acts on him.",him,2.0
"Mr. Wynn had faced growing calls to step aside in the wake of a detailed investigative report in The Wall Street Journal on Friday that said Mr. Wynn had frequently demanded naked massages from female employees, and had sometimes pressured them to engage in sexual intercourse or to perform sex acts on him.",Mr. Wynn,2.0
"Democratic voters view him in overwhelmingly favorable terms, as a thoroughly qualified commander-in-chief and an emblem of the Obama administration.",him,6.0
"Whether they think so or not, Mr. Rubio and Ms. Trump are lighting the way toward an effective system of paid family leave a quarter-century after we enacted unpaid leave during the first Clinton administration.",Mr. Rubio,6.0
"Ms. Winfrey was energetic in her praise for Ms. Abrams and her policy proposals, but she focused her most impassioned remarks on voting rights, delivering a pointed rebuke to people who might willfully stay home along with a stirring evocation of her native South’s racist past.",Ms. Abrams,6.0
"I am thinking in particular not of the allegations raised by Professor Ford, but of the allegation that, when he was a teenager, Judge Kavanaugh drugged multiple girls and used their weakened state to facilitate gang rape.",Judge Kavanaugh,2.0
"It’s odd that Janine, with all of her experience, doesn’t immediately suggest places Zoe might look to bolster her thesis.",Janine,2.0
"This week, Mr. Fico found a familiar foe to blame for his problems, telling the public that the globalist George Soros was behind efforts to undermine his government.",Mr. Fico,2.0
"“As the court considers my bail application, I want to emphasize that I will reside in Japan and respect any and all bail conditions the court concludes are warranted,” Mr. Ghosn said in a statement released to the news media on Monday morning.",Mr. Ghosn,4.0
Tonight’s debate — his first in seven years — will be his first big hurdle.,his,4.0
"Mr. Kelly, officials say, has made a conscious decision not to focus as much on curbing the president’s penchant for tweeting or saying inflammatory things, and to instead pour his efforts into controlling who sees and talks to Mr. Trump and trying to shape his thinking on key issues.",the president’s,2.0
"“And if you can create that space,” she said, “whether that’s in the classroom or in the hallways or in the schoolyard or out at a protest or a march, that’s the most beneficial space for young kids to be in.”",she,6.0
She led the charge that deprived Minnesota of Senator Al Franken without due process.,She,2.0
"“It did not do the one thing I wanted it to do,” he said, which was to “help win the election for Mitt Romney by asking me to donate money to them, to post things to social media, to invite my friends and family to register to vote — to do all of the things, basically, that the Obama app did.”",Obama,6.0
Prosecutors had told the judge that Mr. Manafort had lied about the fact that he had shared Trump campaign polling data with Mr. Kilimnik months before the 2016 election — possibly because he believed Mr. Trump would be less likely to pardon him for his crimes if his release of campaign data became known.,Mr. Manafort,2.0
Prosecutors had told the judge that Mr. Manafort had lied about the fact that he had shared Trump campaign polling data with Mr. Kilimnik months before the 2016 election — possibly because he believed Mr. Trump would be less likely to pardon him for his crimes if his release of campaign data became known.,Trump,2.0
"Born in northern Lebanon, Mr. Zakka moved to the United States as a teenager to escape Lebanon’s civil war, going to school in Georgia and then graduating from the University of Texas in 1990.",Mr. Zakka,6.0
"Born in northern Lebanon, Mr. Zakka moved to the United States as a teenager to escape Lebanon’s civil war, going to school in Georgia and then graduating from the University of Texas in 1990.",Texas,4.0
"Iran’s foreign minister, Mohammad Javad Zarif, offered this year to discuss prisoner releases with the United States — a move interpreted as a signal that the Iranians wanted to pursue diplomacy — but American officials did not take him up on the offer.",this year,4.0
"He called for the release of Andrew Brunson and Serkan Golge, American citizens caught up in Mr. Erdogan’s post-coup purge.",Erdogan,2.0
He said he regretted joining Instagram a few months ago at the urging of a friend.,Instagram,2.0
But Mr. Sanders also clearly admires and envies the values that lie beneath the Canadian system — a commitment to equity and a right to health care that is less commonly heard when Americans talk about what they want from their system.,Mr. Sanders,6.0
"There, he showed a pragmatic style and an ability to balance the interests of powerful officials and big business.",he,6.0
"Like the president he serves, Mr. Wheeler displays little concern for climate change and its epochal challenges.",climate change,4.0
"He wants to ask why, time and again, Mr. Trump expressed no concerns with whether Mr. Comey had abided by policy.",Mr. Trump,2.0
Mr. Mueller was apparently unsatisfied.,Mr. Mueller,2.0
Mr. Salvini took every opportunity to convince small entrepreneurs that the League is on their side.,small entrepreneurs,4.0
"I’ll admit I’ve got a soft spot for Senator Ben Sasse of Nebraska, because he’s smart and sane and clearly detests Trump.",Trump,2.0
"I’ll admit I’ve got a soft spot for Senator Ben Sasse of Nebraska, because he’s smart and sane and clearly detests Trump.",he,6.0
But many White House officials were already souring on Mr. Kelly even before his handling of the abuse allegations against Mr. Porter gave his internal critics new ammunition against him.,Mr. Kelly,2.0
"“This country’s just gone off the walls since Trump got elected,” he said, echoing the impressions of thousands of new Pennsylvania voters his age.",Trump,2.0
"Mrs. May, who has never been a convincing advocate for the cause she must champion, now has three months to put together a coherent set of proposals to bring back to the European Union, while getting on with the legally fraught task of implementing the first phase.",Mrs. May,2.0
"Mrs. May, who has never been a convincing advocate for the cause she must champion, now has three months to put together a coherent set of proposals to bring back to the European Union, while getting on with the legally fraught task of implementing the first phase.",she,2.0
"Richard Lugar, Longtime Indiana G.O.P. Senator, Dies at 87","Richard Lugar, Longtime Indiana G.O.P. Senator",4.0
"On Friday morning, Mr. Flynn pleaded guilty to one count of lying to the F.B.I. about his communications with the Russian ambassador, Sergey Kislyak, during the transition period in December 2016.",Mr. Flynn,2.0
"If last night was about “unity,” Mr. Trump wants to unite only white Americans.",Mr. Trump,2.0
"While conceding the bull market “is getting long in the tooth,” he said, “Bull markets don’t die of old age.”",he,4.0
"Ever since the raids, Mr. Avenatti has been trying to be formally admitted to the case to protect any records related to Ms. Clifford that were swept up in the searches.",Mr. Avenatti,4.0
"All three made presidential moves this week, with Ms. Warren releasing her DNA test, Ms. Gillibrand campaigning in New Hampshire and Ms. Harris stumping in South Carolina.",Ms. Gillibrand,4.0
"Advertisement Continue reading the main story
This week, text messages obtained by The Pittsburgh Post-Gazette showed that Mr. Murphy had urged Dr. Edwards to consider having an abortion during a pregnancy scare.",Mr. Murphy,2.0
"Advertisement Continue reading the main story
There is also the possibility that Mr. Robbins follows the same playbook he used with Health Management Associates.",Mr. Robbins,4.0
His father had been a fighter pilot during World War II. He studied at the Kiev Higher Engineering Radio-Technical College of the Soviet Air Force.,He,6.0
"Mr. Gates, Mr. Manafort’s deputy, believed Mr. Kilimnik to be a “spy.”",Mr. Kilimnik,2.0
"Mr. Gates sent Mr. Kilimnik the data regularly, deleting the WhatsApp messages after he did so.",the data,4.0
"After his July 27 comment, the report states, Mr. Trump “asked individuals affiliated with his Campaign to find the deleted Clinton emails” — including Michael Flynn.",Clinton,2.0
"He swept to re-election in 1936 with 61 percent of the vote, winning all but two states in one of the biggest landslides in American history, and his approval ratings remained high.",He,6.0
So Roosevelt put together a team to organize a campaign against the conservative Democrats.,a campaign against the conservative Democrats,2.0
"But the closest competition for President Niinisto came from Pekka Haavisto, a gay, left-wing Green who reached a second round against Mr. Niinisto in 2012 — a campaign that enchanted liberal-minded celebrities and electrified younger voters, especially in Helsinki.",President Niinisto,4.0
"Confronting one of the most serious leadership challenges of his career, Mr. McConnell used all the tools at his disposal — special benefits for some states, appeals to party loyalty, plain old arm-twisting — to win the vote by the narrowest margin possible.",his,6.0
"Mayor Bill de Blasio offered no apology for the missives, which provided an unvarnished look at his criticisms of his staff and the media in New York City.",Mayor Bill de Blasio,2.0
"Should Mr. Pappas win in November, he would be the state’s first openly gay representative in Congress.",Mr. Pappas,6.0
"In a eulogy for his father, former President George W. Bush remembered him as an imperfect, but beloved man who bestowed wisdom.",former President George W. Bush,6.0
It labeled him a “potential risk.”,him,2.0
At least she’ll be in good company?,she,4.0
He had served three terms in prison for his activities at the height of the protests.,the protests,4.0
He had served three terms in prison for his activities at the height of the protests.,He,2.0
Republicans want to ram Kavanaugh through no matter how many women object.,Kavanaugh,2.0
"Last week, prosecutors made clear in a sentencing memo for Donald Trump’s personal lawyer, Michael Cohen, that Trump himself had directed Cohen to break campaign finance laws.",Trump himself,2.0
